"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"81219",3,"site24",2003,42,145,0,56.45,1
"81395",0,"site24",2007,46,142,0,56.45,1
"81856",3,"site24",2010,42,145,0,56.45,1
"81894",4,"site24",2004,43,153,0,56.45,1
"82753",2,"site24",2009,41,143,0,56.45,0.9875
"82796",5,"site24",2001,40,148,1,56.45,0.99125
"83257",0,"site25",2003,52,148,0,56.67,0.825
"83481",0,"site25",2002,51,153,0,56.67,0.83375
"83788",2,"site25",2008,57,149,0,56.67,0.825
"83992",0,"site25",2011,60,152,0,56.67,0.8375
"84411",3,"site25",1998,47,156,0,56.67,0.83375
"84742",0,"site25",2005,54,158,0,56.67,0.825
"84949",0,"site25",2007,56,158,0,56.67,0.8375
"85052",1,"site25",1999,48,161,0,56.67,0.83375
"85175",0,"site25",2010,59,156,0,56.67,0.8375
"85469",0,"site25",2009,58,152,0,56.67,0.825
"86015",1,"site25",2006,55,154,0,56.67,0.875
"86339",4,"site25",2001,50,161,0,56.67,0.83375
"86590",0,"site25",2012,61,158,0,56.67,0.8375
"86959",3,"site25",2004,53,160,0,56.67,0.8125
"87290",1,"site25",2000,49,159,0,56.67,0.83375
"87615",3,"site26",2011,60,156,0,56.68,1
"87743",5,"site26",2007,56,156,0,56.68,1
"88431",28,"site26",1999,48,162,0,56.68,1
"88918",10,"site26",2001,50,159,0,56.68,1
"89212",3,"site26",2012,61,160,0,56.68,1
"89480",15,"site26",2000,49,162,0,56.68,1
"89498",8,"site26",2005,54,160,0,56.68,1
"89889",9,"site26",1998,47,148,1,56.68,1
"89946",2,"site26",2006,55,156,0,56.68,1
"90408",3,"site26",2008,57,157,0,56.68,1
"90486",8,"site26",2002,51,156,0,56.68,1
"90509",2,"site26",2009,58,159,0,56.68,1
"90690",9,"site26",2003,52,149,0,56.68,1
"91371",22,"site27",2003,29,159,0,56.46,0.9375
"91471",5,"site27",2006,32,146,0,56.46,0.9375
"91555",6,"site27",2009,35,148,0,56.46,0.95
"91758",5,"site27",2002,28,152,1,56.46,0.922222222222222
"92395",12,"site27",2004,30,148,0,56.46,0.925
"92497",2,"site27",2010,42,153,1,56.46,0.8875
"92687",16,"site27",2005,31,141,0,56.46,0.925
"93414",20,"site27",2007,33,159,0,56.46,0.925
