"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"85971",4,"site25",2004,53,160,0,56.67,0.8125
"86138",3,"site25",1998,47,156,0,56.67,0.83375
"86400",5,"site25",2009,58,152,0,56.67,0.825
"87150",4,"site25",1999,48,161,0,56.67,0.83375
"87255",3,"site25",2012,61,158,0,56.67,0.8375
"87566",3,"site25",2000,49,159,0,56.67,0.83375
"87896",0,"site26",2006,55,156,0,56.68,1
"87922",0,"site26",2003,52,149,0,56.68,1
"88189",0,"site26",2008,57,157,0,56.68,1
"88681",0,"site26",2012,61,160,0,56.68,1
"88872",0,"site26",1999,48,162,0,56.68,1
"89508",0,"site26",2002,51,156,0,56.68,1
"90002",0,"site26",2009,58,159,0,56.68,1
"90037",0,"site26",2001,50,159,0,56.68,1
"90066",2,"site26",2005,54,160,0,56.68,1
"90073",0,"site26",2000,49,162,0,56.68,1
"90429",0,"site26",2011,60,156,0,56.68,1
"90575",0,"site26",2007,56,156,0,56.68,1
"91079",0,"site26",1998,47,148,1,56.68,1
"91282",9,"site27",2009,35,148,0,56.46,0.95
"91862",10,"site27",2005,31,141,0,56.46,0.925
"92544",7,"site27",2004,30,148,0,56.46,0.925
"92842",5,"site27",2007,33,159,0,56.46,0.925
"92964",6,"site27",2006,32,146,0,56.46,0.9375
"92987",7,"site27",2008,34,150,0,56.46,0.925
"93024",4,"site27",2011,43,148,0,56.46,0.8875
"93518",6,"site27",2010,42,153,1,56.46,0.8875
"93730",13,"site27",2003,29,159,0,56.46,0.9375
"93763",5,"site27",2002,28,152,1,56.46,0.922222222222222
"94182",0,"site28",2004,50,147,0,56.47,0.9875
"94424",0,"site28",2003,49,154,1,56.47,1
"94764",3,"site28",2011,49,159,0,56.47,1
"94856",4,"site28",2008,46,149,1,56.47,1
"94876",2,"site28",2009,47,150,0,56.47,1
"95540",0,"site28",2012,50,160,0,56.47,1
"95620",0,"site28",2010,48,149,0,56.47,1
"96179",0,"site29",2003,33,149,1,56.68,0.825
"96303",2,"site29",2004,34,153,0,56.68,0.825
"96430",0,"site29",2007,37,156,0,56.68,0.825
"96550",0,"site29",2005,55,155,1,56.68,0.825
"96674",0,"site29",2012,42,157,0,56.68,0.825
"96925",1,"site29",2006,36,155,0,56.68,0.825
"97333",0,"site29",2010,40,145,0,56.68,0.825
"97807",1,"site29",2011,41,152,0,56.68,0.825
"98197",1,"site30",2002,52,135,0,56.69,1
"98243",1,"site30",2010,60,135,0,56.69,1
"98693",1,"site30",2005,55,139,0,56.69,1
"98748",2,"site30",2004,54,140,0,56.69,1
"98805",1,"site30",2003,53,140,0,56.69,1
"98815",2,"site30",2012,62,140,0,56.69,1
"99306",3,"site30",2006,56,139,0,56.69,1
"100304",2,"site30",2001,51,140,0,56.69,1
"100316",0,"site30",2008,58,138,0,56.69,1
"100887",2,"site30",2007,57,138,0,56.69,1
"101455",3,"site30",2000,50,141,0,56.69,1
"101485",2,"site30",1999,49,141,1,56.69,1
"101775",2,"site30",2009,59,134,0,56.69,1
"101980",3,"site30",2011,61,140,0,56.69,1
"102071",1,"site31",2006,70,136,0,56.47,1
"102183",0,"site31",2012,44,152,0,56.47,1
"102437",0,"site31",2009,48,153,1,56.47,1
"103065",3,"site31",2005,69,136,0,56.47,1
"103443",0,"site31",2011,43,145,1,56.47,1
"103481",0,"site31",2001,65,153,1,56.47,1
"103764",0,"site31",2007,53,156,1,56.47,1
"103917",0,"site31",2004,68,140,0,56.47,1
"104084",2,"site31",2010,25,154,1,56.47,1
"104544",1,"site31",2008,54,146,0,56.47,1
"104957",0,"site32",2008,46,150,0,56.48,1
"105101",0,"site32",2009,47,152,0,56.48,1
"105109",0,"site32",2011,46,156,1,56.48,0.975
"105767",4,"site32",2010,48,152,0,56.48,1
"105851",0,"site32",2005,43,155,0,56.48,1
"105990",0,"site32",2012,33,147,1,56.48,1
"106581",1,"site32",1998,19,134,1,56.48,0.9975
"106625",0,"site32",2002,40,154,1,56.48,0.9975
"106631",0,"site32",2007,45,152,0,56.48,1
"106916",1,"site32",2003,41,153,0,56.48,1
"107041",2,"site32",2004,42,158,0,56.48,1
"107860",2,"site32",2006,44,155,0,56.48,1
"108499",2,"site33",2003,49,152,1,56.7,1
"108729",2,"site33",2008,38,145,1,56.7,1
"108840",7,"site33",2009,39,150,0,56.7,1
"109317",1,"site33",2007,53,155,0,56.7,1
"109572",2,"site33",2006,52,157,0,56.7,1
"109769",3,"site33",2002,52,159,1,56.7,0.997916666666667
"109805",2,"site33",2011,51,152,1,56.7,0.9875
"110301",0,"site34",2012,53,154,0,56.7,1
"110489",8,"site34",2003,49,147,1,56.7,1
"110643",1,"site34",2009,50,142,0,56.7,1
"110750",2,"site34",2008,49,151,0,56.7,1
"111081",7,"site34",2002,27,137,1,56.7,1
"111328",2,"site34",2011,52,147,0,56.7,1
"111535",2,"site34",2006,47,144,1,56.7,1
"111938",1,"site34",2010,51,141,0,56.7,1
"111989",3,"site34",2007,48,145,0,56.7,1
"113242",0,"site35",2005,53,155,0,56.48,0.975
"113308",2,"site35",2012,60,138,0,56.48,1
"113386",0,"site35",2004,52,141,0,56.48,1
"113808",0,"site35",2003,51,148,0,56.48,0.975
"113939",4,"site35",2007,55,144,0,56.48,1
"113969",0,"site35",2008,56,144,0,56.48,1
"114224",0,"site35",2002,50,142,0,56.48,0.994444444444444
"114716",0,"site35",2006,54,139,0,56.48,1
"114873",0,"site35",2011,59,140,0,56.48,1
"114897",0,"site35",2001,49,139,1,56.48,0.994444444444444
"114905",2,"site35",2009,57,141,0,56.48,1
"115682",5,"site36",2002,68,136,0,56.48,0.99375
"116366",19,"site36",2006,72,138,0,56.48,1
"116433",4,"site36",2001,67,138,0,56.48,0.99375
"117245",13,"site36",2011,77,136,0,56.48,1
"117279",4,"site36",2004,70,139,0,56.48,1
"117332",9,"site36",2000,66,142,0,56.48,0.99375
"117949",17,"site36",2010,76,133,0,56.48,1
"118087",19,"site36",2008,74,138,0,56.48,1
"118193",7,"site36",2005,71,140,0,56.48,0.9375
"118433",17,"site36",2009,75,135,0,56.48,1
"118625",4,"site36",1999,65,141,1,56.48,0.99375
"118758",8,"site36",2012,78,143,0,56.48,1
"118760",15,"site36",2007,73,136,0,56.48,1
"118764",10,"site36",2003,69,136,0,56.48,1
"119555",0,"site37",2003,49,135,0,56.7,1
"119862",0,"site37",2008,47,151,1,56.7,1
"120992",0,"site37",2012,58,139,0,56.7,0.9875
"121359",0,"site37",2010,56,139,0,56.7,1
"121400",0,"site37",2007,53,137,0,56.7,1
"121732",0,"site37",2002,48,138,1,56.7,1
"121978",2,"site37",2009,48,158,0,56.7,1
"122104",0,"site37",2006,52,139,0,56.7,1
"122209",0,"site37",2000,17,152,1,56.7,1
"122255",0,"site37",2005,51,139,0,56.7,1
"122525",11,"site38",2007,73,137,0,56.7,1
"122704",10,"site38",2004,70,140,0,56.7,1
"122751",10,"site38",2006,72,139,0,56.7,1
"122912",7,"site38",2003,69,137,0,56.7,1
"123267",2,"site38",2002,68,137,0,56.7,1
"123350",6,"site38",2001,67,139,0,56.7,1
"123795",3,"site38",2000,66,143,0,56.7,1
"124100",1,"site38",1998,64,143,1,56.7,1
"124629",1,"site38",1999,65,144,0,56.7,1
"124968",9,"site38",2011,77,137,0,56.7,1
"125498",18,"site38",2010,76,134,0,56.7,1
"125929",12,"site38",2005,71,141,0,56.7,1
